s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2522273.0,4701275.0,4086193.0,5996423.0,483864.0,925663.0,730354.0,1093752.0,0.0,62.0
2520820.0,4696533.0,4080823.0,5985654.0,484956.0,925016.0,727994.0,1090550.0,0.0,62.0
2394505.0,4463483.0,3879286.0,5690596.0,460115.0,879321.0,693547.0,1036471.0,0.017543859779834747,62.0
2393147.0,4459149.0,3874785.0,5681818.0,459240.0,877568.0,692399.0,1033875.0,0.017543859779834747,62.0
2518203.0,4694834.0,4080225.0,5983814.0,483480.0,923673.0,728252.0,1091348.0,0.0,62.0
2517035.0,4691617.0,4076817.0,5979554.0,482242.0,922928.0,727066.0,1089046.0,0.0,62.0
2517522.0,4692606.0,4077260.0,5981684.0,483105.0,922996.0,728342.0,1090017.0,0.0,62.0
2514933.0,4688401.0,4073350.0,5974261.0,482604.0,922765.0,727887.0,1088132.0,0.0,62.0
2390018.0,4455182.0,3872023.0,5679369.0,458586.0,877203.0,692246.0,1035776.0,0.0,61.0
2387624.0,4449905.0,3866500.0,5668875.0,460057.0,876166.0,691756.0,1033606.0,0.05882352963089943,61.0
2512967.0,4685333.0,4071460.0,5971247.0,483403.0,923115.0,727773.0,1089898.0,0.0,61.0
2510707.0,4678914.0,4064787.0,5958259.0,482154.0,921728.0,726035.0,1085631.0,0.0,61.0
2510707.0,4678914.0,4064787.0,5958259.0,482154.0,921728.0,726035.0,1085631.0,0.0,61.0
2511328.0,4680843.0,4066312.0,5960607.0,483536.0,922251.0,727493.0,1086234.0,0.017543859779834747,61.0
2511559.0,4680037.0,4065118.0,5961361.0,483253.0,922682.0,727800.0,1088447.0,0.0,60.0
2510523.0,4678896.0,4064142.0,5955619.0,483389.0,922272.0,728217.0,1087842.0,0.017543859779834747,60.0
2512325.0,4682623.0,4069352.0,5965029.0,483377.0,922625.0,728481.0,1089641.0,0.0,60.0
2388682.0,4449072.0,3864777.0,5664905.0,460045.0,877634.0,692542.0,1035002.0,0.017543859779834747,60.0
2516049.0,4689049.0,4073740.0,5973891.0,485045.0,926440.0,730574.0,1092211.0,0.017543859779834747,59.0
2515478.0,4686692.0,4072156.0,5969936.0,484254.0,924924.0,730616.0,1091719.0,0.017543859779834747,59.0
2516203.0,4690836.0,4076149.0,5977863.0,484795.0,926765.0,731528.0,1094260.0,0.0,59.0
2515791.0,4686996.0,4071964.0,5969470.0,484537.0,925644.0,729710.0,1090654.0,0.0,58.0
2516293.0,4690130.0,4074761.0,5974734.0,485371.0,925841.0,729918.0,1093342.0,0.0,58.0
2387586.0,4450481.0,3865762.0,5665860.0,458798.0,878025.0,692210.0,1034192.0,0.0,58.0
2514853.0,4685598.0,4071618.0,5969066.0,485437.0,925034.0,730381.0,1092255.0,0.017543859779834747,58.0
2511993.0,4681186.0,4067497.0,5959743.0,483108.0,923726.0,729081.0,1088082.0,0.017543859779834747,58.0
2512602.0,4682375.0,4068945.0,5965730.0,484807.0,924200.0,729282.0,1091846.0,0.0,59.0
2509891.0,4677977.0,4063570.0,5954222.0,483053.0,922535.0,727998.0,1088152.0,0.0,59.0
2511677.0,4679725.0,4065922.0,5960662.0,483329.0,923560.0,728212.0,1089894.0,0.0,59.0
2508102.0,4674372.0,4059813.0,5948314.0,482328.0,922986.0,728872.0,1087630.0,0.017543859779834747,59.0
2509175.0,4677134.0,4061135.0,5953641.0,482724.0,923076.0,728150.0,1089175.0,0.0,59.0
2506784.0,4670341.0,4057009.0,5943245.0,482512.0,921795.0,726770.0,1085902.0,0.0,59.0
2507966.0,4673959.0,4059387.0,5949882.0,482537.0,921893.0,728418.0,1088277.0,0.017543859779834747,59.0
2381965.0,4437580.0,3853612.0,5644886.0,457300.0,874159.0,690150.0,1030647.0,0.0,59.0
2509115.0,4674604.0,4060993.0,5951806.0,483703.0,922945.0,728757.0,1089555.0,0.0,59.0
2508316.0,4674035.0,4060484.0,5947192.0,482616.0,921524.0,727325.0,1087044.0,0.0,59.0
2510320.0,4678068.0,4064364.0,5956255.0,482725.0,922611.0,728417.0,1089891.0,0.0,59.0
2510320.0,4678068.0,4064364.0,5956255.0,482725.0,922611.0,728417.0,1089891.0,0.0,59.0
2511716.0,4679397.0,4065303.0,5956743.0,484148.0,923260.0,728811.0,1089975.0,0.0,59.0
2511189.0,4679481.0,4066893.0,5957751.0,483837.0,923439.0,730202.0,1088803.0,0.017543859779834747,59.0
2512485.0,4682078.0,4068816.0,5963781.0,484177.0,925232.0,730733.0,1091596.0,0.017543859779834747,59.0
2511712.0,4679995.0,4066856.0,5958350.0,483663.0,923735.0,728446.0,1090318.0,0.0,59.0
2510604.0,4680792.0,4067457.0,5959543.0,482676.0,923507.0,729988.0,1090873.0,0.0,59.0
2386313.0,4444770.0,3860129.0,5656393.0,459758.0,876915.0,692246.0,1035017.0,0.0,59.0
2509413.0,4677603.0,4064226.0,5955203.0,483657.0,922925.0,729065.0,1089508.0,0.017543859779834747,59.0
2383283.0,4441684.0,3859598.0,5651947.0,458055.0,876544.0,691281.0,1033160.0,0.0,59.0
2507896.0,4675651.0,4060850.0,5950099.0,481769.0,922809.0,727753.0,1088651.0,0.0,59.0
2384565.0,4442911.0,3859690.0,5653401.0,459870.0,876446.0,692065.0,1034807.0,0.0,59.0
2497383.0,4655752.0,4045246.0,5923046.0,479422.0,917545.0,725193.0,1083244.0,0.0,59.0
2500065.0,4659003.0,4046331.0,5925465.0,479482.0,918003.0,724564.0,1083051.0,0.0,59.0
2498483.0,4657005.0,4044131.0,5923859.0,480457.0,917214.0,723740.0,1082835.0,0.0,59.0
2493479.0,4645012.0,4032586.0,5904277.0,479355.0,913794.0,720311.0,1076712.0,0.0,58.0
2493703.0,4650245.0,4038956.0,5911295.0,478140.0,914197.0,721351.0,1076863.0,0.0,58.0
2489992.0,4639822.0,4030004.0,5897042.0,475866.0,909198.0,716971.0,1070136.0,0.0,59.0
2491811.0,4644570.0,4031944.0,5902225.0,476592.0,912249.0,718560.0,1072722.0,0.0,59.0
2492314.0,4644775.0,4033104.0,5901940.0,477708.0,911430.0,719098.0,1073664.0,0.0,59.0
2492040.0,4644845.0,4033595.0,5903360.0,477346.0,911030.0,718199.0,1073363.0,0.0,59.0
2494765.0,4650715.0,4039948.0,5913071.0,478468.0,912921.0,721047.0,1076274.0,0.017543859779834747,59.0
2493941.0,4647500.0,4034795.0,5905460.0,476933.0,912146.0,718117.0,1072651.0,0.0,59.0
2495865.0,4650036.0,4039898.0,5914006.0,477907.0,912725.0,720857.0,1075790.0,0.0,59.0
2493828.0,4647425.0,4036227.0,5907364.0,477350.0,911490.0,718770.0,1072651.0,0.0,59.0
2494275.0,4650164.0,4038336.0,5912511.0,477429.0,912856.0,719800.0,1075162.0,0.0,60.0
2493515.0,4647046.0,4033648.0,5902583.0,477624.0,910979.0,717642.0,1071712.0,0.0,60.0
2493515.0,4647046.0,4033648.0,5902583.0,477624.0,910979.0,717642.0,1071712.0,0.0,61.0
2493824.0,4649798.0,4039558.0,5912157.0,476461.0,912049.0,719126.0,1074054.0,0.0,61.0
2491401.0,4645146.0,4034746.0,5904941.0,477303.0,911422.0,718709.0,1072872.0,0.0,61.0
2488769.0,4639706.0,4027172.0,5891754.0,475069.0,908386.0,715084.0,1067494.0,0.0,61.0
2488081.0,4639979.0,4029213.0,5895567.0,474384.0,907894.0,716327.0,1069803.0,0.0,61.0
2484469.0,4633294.0,4021128.0,5879401.0,473978.0,907151.0,713654.0,1063379.0,0.0,61.0
2360106.0,4400823.0,3818713.0,5586579.0,450255.0,860886.0,677271.0,1010740.0,0.0,62.0
2480387.0,4626471.0,4013695.0,5868455.0,471415.0,904184.0,711705.0,1059223.0,0.0,62.0
2480806.0,4628365.0,4016220.0,5872808.0,472279.0,905128.0,712213.0,1062140.0,0.0,62.0
2481766.0,4631229.0,4017527.0,5873809.0,473112.0,904763.0,711156.0,1060593.0,0.0,62.0
2483837.0,4632010.0,4020539.0,5880666.0,472745.0,904503.0,713076.0,1062108.0,0.017543859779834747,62.0
2476710.0,4622683.0,4009635.0,5861961.0,471293.0,902143.0,710277.0,1056914.0,0.017543859779834747,62.0
2481167.0,4629737.0,4016896.0,5875982.0,472260.0,904894.0,712023.0,1062674.0,0.0,62.0
2482769.0,4630910.0,4019484.0,5876133.0,473042.0,905361.0,712509.0,1062218.0,0.0,62.0
2359623.0,4400957.0,3820152.0,5586101.0,450489.0,861356.0,678191.0,1012117.0,0.0,62.0
2478651.0,4626112.0,4013711.0,5867106.0,472563.0,906112.0,713229.0,1061929.0,0.0,62.0
2478887.0,4624948.0,4014525.0,5869420.0,473950.0,906440.0,712907.0,1063446.0,0.0,62.0
2477686.0,4622163.0,4010021.0,5863307.0,473383.0,906336.0,713346.0,1061880.0,0.017543859779834747,62.0
